station,component,config,n_updates,station_years,seconds,us_per_update,n_flags,n_steps,n_detected,n_reachable,n_detected_reachable,recall_reachable,median_delay_days,n_false_alarms,false_alarms_per_year,event_window_share,chance_false_alarms_per_year,v,c
AB09,up,tracking,6648,19.0828,13.0653,1965.29,0,7,0,3,0,0.0,,0,0.0,0.0871,0.0,-0.00037423970849854494,0.09107348183020476
AB11,east,detection,6289,20.0876,4.1428,658.73,12,8,0,3,0,0.0,,12,0.5974,0.1059,0.5341,0.007940917011611825,0.2586794532970978
AB11,east,tracking,6289,20.0876,11.9097,1893.73,0,8,0,1,0,0.0,,0,0.0,0.1059,0.0,-0.0016314629417035558,0.4515805741334368
AB11,north,detection,6289,20.0876,4.1126,653.94,10,8,1,3,1,0.3333,26.01,9,0.448,0.1059,0.4451,-0.03124626953977691,0.2681672763156545
AB11,north,tracking,6289,20.0876,11.7588,1869.74,0,8,0,1,0,0.0,,0,0.0,0.1059,0.0,-0.02547443717780821,0.15352849940007074
AB11,up,detection,6289,20.0876,3.9573,629.25,6,8,0,3,0,0.0,,5,0.2489,0.1059,0.2671,-0.038466295530306734,1.2177825673252716
AB11,up,tracking,6289,20.0876,10.5149,1671.95,1,8,0,0,0,,,1,0.0498,0.1059,0.0445,-0.0020971299527974,0.49093387143240536
AB12,east,detection,4061,11.8084,2.5232,621.32,3,3,0,2,0,0.0,,2,0.1694,0.0835,0.2329,-0.21485419923219595,1.6713297596909595
AB12,east,tracking,4061,11.8084,8.6873,2139.19,0,3,0,0,0,,,0,0.0,0.0835,0.0,-0.018768419037735087,-0.5692003910720518
AB12,north,detection,4061,11.8084,1.8992,467.66,9,3,2,2,2,1.0,24.5,7,0.5928,0.0835,0.6986,-0.3007114756226525,4.281003031240049
AB12,north,tracking,4061,11.8084,7.5542,1860.18,0,3,0,0,0,,,0,0.0,0.0835,0.0,-0.01110190773619089,0.8435318564256591
AB12,up,detection,4061,11.8084,2.6077,642.12,8,3,1,2,1,0.5,39.99,7,0.5928,0.0835,0.6209,-0.09827024896864331,1.3092006913105338
AB12,up,tracking,4061,11.8084,8.1831,2015.04,0,3,0,0,0,,,0,0.0,0.0835,0.0,0.012615622199529606,-0.009963981057566107
AB13,east,detection,6873,19.6249,3.5438,515.61,8,19,2,16,2,0.125,2.5,6,0.3057,0.2002,0.326,-0.017943395228381676,-0.40929973046799295
AB13,east,tracking,6873,19.6249,13.4107,1951.21,1,19,1,6,1,0.1667,44.01,0,0.0,0.2002,0.0408,-0.007546406588399039,-0.6122262789430757
AB13,north,detection,6873,19.6249,2.9437,428.3,6,19,2,16,2,0.125,7.0,4,0.2038,0.2002,0.2445,-0.04772236479863732,0.17484727627668276
AB13,north,tracking,6873,19.6249,8.9476,1301.84,1,19,1,0,0,,43.99,0,0.0,0.2002,0.0408,-0.03212518923071155,-0.1284616486694441
AB13,up,detection,6873,19.6249,2.5241,367.25,3,19,1,17,1,0.0588,1.0,2,0.1019,0.2002,0.1223,-0.011593566779113879,0.9933042835806023
AB13,up,tracking,6873,19.6249,8.2862,1205.62,1,19,1,6,1,0.1667,44.01,0,0.0,0.2002,0.0408,0.005789924480473858,0.6582462156007705
AB14,east,detection,6920,19.1294,2.5613,370.14,7,13,0,11,0,0.0,,6,0.3137,0.1798,0.3001,-0.004734644546927608,0.18246380656006428
AB14,east,tracking,6920,19.1294,8.3708,1209.65,0,13,0,6,0,0.0,,0,0.0,0.1798,0.0,-0.0045959563499400205,0.1812565711325007
AB14,north,detection,6920,19.1294,2.5435,367.55,12,13,2,9,2,0.2222,31.99,9,0.4705,0.1798,0.5145,-0.024895568946953432,0.38090603443914856
AB14,north,tracking,6920,19.1294,8.2807,1196.64,1,13,0,0,0,,,1,0.0523,0.1798,0.0429,-0.02816727884281004,0.440087642289303
AB14,up,detection,6920,19.1294,2.5414,367.26,8,13,0,13,0,0.0,,8,0.4182,0.1798,0.343,-0.011168951951273036,0.8704057285678344
AB14,up,tracking,6920,19.1294,8.3111,1201.03,0,13,0,6,0,0.0,,0,0.0,0.1798,0.0,-0.0034320386186735817,0.7201090204843442
AB15,east,detection,5989,20.0301,2.221,370.85,9,12,1,6,1,0.1667,3.99,6,0.2995,0.1486,0.3826,0.0023657219864645133,0.23182573232056566
AB15,east,tracking,5989,20.0301,7.132,1190.85,1,12,0,0,0,,,1,0.0499,0.1486,0.0425,-0.003067919290853017,0.34325848667621944
AB15,north,detection,5989,20.0301,2.2044,368.08,7,12,1,6,1,0.1667,3.99,4,0.1997,0.1486,0.2975,-0.02700622744263152,0.2559636463630034
AB15,north,tracking,5989,20.0301,7.1272,1190.04,1,12,0,0,0,,,1,0.0499,0.1486,0.0425,-0.0230874803393356,0.17644372993149277
AB15,up,detection,5989,20.0301,2.2042,368.04,2,12,0,12,0,0.0,,2,0.0998,0.1486,0.085,0.008074066848862745,0.17664289085092819
AB15,up,tracking,5989,20.0301,7.0866,1183.26,0,12,0,4,0,0.0,,0,0.0,0.1486,0.0,0.0011114393502364142,0.31365085284925853
