sta,component,model,n_params,bic_image,bic_raw,rss_image,rss_raw,rank_image,rank_raw
0AME,east,trend_annual_semi,6,-83034.56652126453,-83034.56652733103,0.00893523542220052,0.008935235413427965,1,1
0AME,east,trend_quad_annual_semi,7,-83257.18397014393,-83257.18397644286,0.00860687886901359,0.008606878860239689,0,0
0AME,north,trend,2,-81381.4023763439,-81381.40237700168,0.011742312521353222,0.011742312520103201,3,3
0AME,north,trend_annual,4,-81948.38004821743,-81948.38004894044,0.010682582567279778,0.010682582566029815,2,2
0AME,north,trend_annual_semi,6,-82344.01004131744,-82344.01004209054,0.009991763576196576,0.009991763574946456,1,1
0AME,north,trend_quad_annual_semi,7,-82466.43951990611,-82466.43952069568,0.009781908772595656,0.009781908771345691,0,0
0AME,up,trend,2,-60030.1296061413,-60030.12960617883,0.37191168308213696,0.37191168307987793,3,3
0AME,up,trend_annual,4,-62989.892852753765,-62989.89285281454,0.2297122564900938,0.22971225648783478,2,2
0AME,up,trend_annual_semi,6,-63135.442396766266,-63135.44239682866,0.22373148419549976,0.22373148419324054,1,1
0AME,up,trend_quad_annual_semi,7,-63140.4431899463,-63140.443190008846,0.2232349059373558,0.2232349059350962,0,0
0AMM,east,trend,2,-77999.50933819087,-77999.50933544018,0.05688946469016053,0.05688946471357599,3,3
0AMM,east,trend_annual,4,-84313.06167705041,-84313.06166995697,0.02205978216294527,0.02205978218635989,2,2
0AMM,east,trend_annual_semi,6,-84315.46566085992,-84315.46565374575,0.021993801939395013,0.02199380196280777,1,1
0AMM,east,trend_quad_annual_semi,7,-84440.32318508202,-84440.32317782393,0.021558279847967238,0.02155827987138064,0,0
0AMM,north,trend,2,-81391.4989441243,-81391.49894460944,0.03424550235045969,0.03424550234797367,3,3
0AMM,north,trend_annual,4,-81892.42122913674,-81892.4212296615,0.03168884717998227,0.03168884717749408,2,2
0AMM,north,trend_annual_semi,6,-82124.30470245566,-82124.3047030003,0.030527610725448354,0.030527610722960445,0,0
0AMM,north,trend_quad_annual_semi,7,-82115.50337053044,-82115.50337107491,0.030527583361875735,0.03052758335938856,1,1
0AMM,up,trend,2,-63674.630128374636,-63674.6301283531,0.4852142392241635,0.48521423922572693,3,3
0AMM,up,trend_annual,4,-67028.75134648696,-67028.75134645132,0.29296883227996384,0.2929688322815263,2,2
0AMM,up,trend_annual_semi,6,-67109.9846745998,-67109.98467456363,0.28866743190670724,0.2886674319082695,1,1
0AMM,up,trend_quad_annual_semi,7,-67116.52771156892,-67116.52771153266,0.2880051449603553,0.28800514496191765,0,0
0AMS,east,trend,2,-43461.94522266733,-43461.94522267095,0.03060001460117024,0.03060001460114043,3,3
0AMS,east,trend_annual,4,-46391.10244622231,-46391.102446230296,0.013844584487425217,0.013844584487395428,1,1
0AMS,east,trend_annual_semi,6,-46387.395547564054,-46387.395547572116,0.013797201901926393,0.013797201901896459,2,2
0AMS,east,trend_quad_annual_semi,7,-46420.42773371682,-46420.427733724915,0.013644801888609243,0.013644801888579458,0,0
0AMS,north,trend,2,-48456.76149648821,-48456.761494920356,0.007973621712015062,0.007973621715381095,3,3
0AMS,north,trend_annual,4,-48744.54720047809,-48744.54719877661,0.007346512120531423,0.007346512123897062,2,2
0AMS,north,trend_annual_semi,6,-48896.72468674288,-48896.72468496226,0.00702043529624442,0.0070204352996102405,1,1
0AMS,north,trend_quad_annual_semi,7,-48962.12469358872,-48962.12469177231,0.006882644579754651,0.00688264458312074,0,0
0AMS,up,trend,2,-35784.71363989097,-35784.71363992987,0.24179891690414107,0.24179891690160882,3,3
0AMS,up,trend_annual,4,-37378.70740679847,-37378.707406858484,0.15672534133783272,0.15672534133530044,2,2
0AMS,up,trend_annual_semi,6,-37441.87806476492,-37441.87806482623,0.1534016492814534,0.15340164927892105,1,1
0AMS,up,trend_quad_annual_semi,7,-37470.908294448935,-37470.908294510846,0.15187077538258437,0.15187077538005267,0,0
0ANA,east,trend,2,-82160.00566176171,-82160.00566184937,0.04214523183943813,0.042145231838898733,3,3
0ANA,east,trend_annual,4,-87777.63038663627,-87777.63038683576,0.01851037885095388,0.018510378850414726,2,2
0ANA,east,trend_annual_semi,6,-87893.1512262314,-87893.15122643519,0.018153906180940954,0.018153906180400796,1,1
0ANA,east,trend_quad_annual_semi,7,-90162.26170718836,-90162.26170747216,0.013017451408863586,0.013017451408324183,0,0
0ANA,north,trend,2,-86284.30638928068,-86284.30638893503,0.023079527014724592,0.02307952701588937,3,3
0ANA,north,trend_annual,4,-86554.32684061157,-86554.32684025117,0.02213017645389677,0.02213017645506123,2,2
0ANA,north,trend_annual_semi,6,-87340.53669028876,-87340.53668988321,0.019679376080864397,0.019679376082029666,1,1
0ANA,north,trend_quad_annual_semi,7,-87527.21815544047,-87527.21815502344,0.019125546024675418,0.019125546025839945,0,0
0ANA,up,trend,2,-65438.07501627179,-65438.075016234536,0.48426667593769807,0.4842666759403319,3,3
0ANA,up,trend_annual,4,-68773.3389688477,-68773.33896878686,0.2968080932939692,0.29680809329660557,2,2
0ANA,up,trend_annual_semi,6,-68821.75650842124,-68821.75650835986,0.2939581682393872,0.29395816824202187,0,0
0ANA,up,trend_quad_annual_semi,7,-68818.12470678786,-68818.12470672633,0.29373506721983883,0.29373506722247755,1,1
0ANG,east,trend,2,-80857.49538275193,-80857.49538326336,0.03248681660279604,0.03248681660028481,3,3
0ANG,east,trend_annual,4,-85470.15154996693,-85470.1515509966,0.01613479073247674,0.016134790729965647,2,2
0ANG,east,trend_annual_semi,6,-85980.06334355108,-85980.06334466655,0.014898282684611814,0.014898282682099957,0,0
0ANG,east,trend_quad_annual_semi,7,-85972.93828921659,-85972.93829033212,0.01489451762421615,0.014894517621704767,1,1
0ANG,north,trend,2,-82113.63815232688,-82113.63815383302,0.026868913309472213,0.026868913303355536,3,3
