station,component,config,n_updates,station_years,seconds,us_per_update,n_flags,n_steps,n_detected,n_reachable,n_detected_reachable,recall_reachable,median_delay_days,n_false_alarms,false_alarms_per_year,event_window_share,chance_false_alarms_per_year,v,c
AB33,east,tracking,7206,19.9261,3.0254,419.85,0,5,0,2,0,0.0,,0,0.0,0.0824,0.0,-0.007437966981763971,0.2789773853448062
AB33,north,detection,7206,19.9261,0.9492,131.73,7,5,0,4,0,0.0,,6,0.3011,0.0824,0.3223,-0.017772100076725708,0.6075601531779159
AB33,north,tracking,7206,19.9261,2.8385,393.91,0,5,0,2,0,0.0,,0,0.0,0.0824,0.0,-0.022112533675175697,0.6884918817735863
AB33,up,detection,7206,19.9261,0.9044,125.51,4,5,0,4,0,0.0,,3,0.1506,0.0824,0.1842,-0.05939018348679789,1.9548815478509622
AB33,up,tracking,7206,19.9261,3.0134,418.18,0,5,0,2,0,0.0,,0,0.0,0.0824,0.0,-0.0016694424057771028,0.8064963469639735
AB35,east,detection,6505,18.1492,0.8101,124.54,2,9,1,9,1,0.1111,34.0,1,0.0551,0.1552,0.0931,-0.02460064897013137,0.724706097388276
AB35,east,tracking,6505,18.1492,2.7513,422.95,0,9,0,2,0,0.0,,0,0.0,0.1552,0.0,-0.03127262243400914,0.8438984168517694
AB35,north,detection,6505,18.1492,0.7799,119.89,7,9,1,6,1,0.1667,34.0,5,0.2755,0.1552,0.3258,-0.03548490418252384,1.7001281828732064
AB35,north,tracking,6505,18.1492,2.7607,424.4,0,9,0,2,0,0.0,,0,0.0,0.1552,0.0,0.020393784369735473,0.6904336683489175
AB35,up,detection,6505,18.1492,1.0186,156.59,0,9,0,9,0,0.0,,0,0.0,0.1552,0.0,0.003703231857585228,0.8890342638207233
AB35,up,tracking,6505,18.1492,2.6124,401.6,0,9,0,2,0,0.0,,0,0.0,0.1552,0.0,0.011593976972874785,0.7350779742745857
AB36,east,detection,6276,20.0027,0.9961,158.72,11,8,0,5,0,0.0,,10,0.4999,0.1314,0.4777,0.0004400140418854804,-0.7730890763347193
