sta,kind,index,component,n,span,order,a1,a2,b1,b2,c,v,stderr_a1,stderr_a2,stderr_b1,stderr_b2,stderr_c,stderr_v,rss,bic,converged,midas_v,midas_sigma,midas_span,midas_steps,diff,diff_over_sigma,within_sigma,error
AC57,seg,7,east,778,2.1848,34,-0.00253051886948687,-0.00014185398253620978,-4.0784352591568695e-05,0.00032602620348922686,-0.4445206837605488,-0.025284999843153147,6.779137864532369e-05,6.901542256264026e-05,7.539576724077686e-05,7.118464148943403e-05,0.0014593603739440522,8.108061701727342e-05,0.0014531002208443625,-10222.488383714168,True,,,,,,,,
AC57,seg,7,north,778,2.1848,34,0.001960965801074492,-0.0002458967584152287,0.0019674445983659523,0.0009933755360406918,0.37776215189970047,0.008256436396974237,6.715479135698579e-05,6.836734102807663e-05,7.468777179977734e-05,7.051619014941707e-05,0.0014456564150967586,8.031923863619886e-05,0.0014259380071339346,-10237.168862133976,True,,,,,,,,
AC57,seg,7,up,778,2.1848,34,-0.00667288577437051,-0.000810400423691362,0.011299875103088617,0.0011741676195605288,0.40788057699119995,0.006608929671920005,0.000277938071585555,0.00028295653282226955,0.0003091153266295227,0.0002918501198448067,0.005983235865499894,0.00033242265885534433,0.024425458034372252,-8027.029494271734,True,,,,,,,,
AC57,segmean,-1,east,6403,17.5714,54,-0.0025139317250787163,-0.0002542390604893526,0.0006234354925802327,-1.2063486953341471e-05,-0.44724012271144153,-0.024647843733696925,,,,,,,,,True,-0.024489,0.000175,20.1643,11,-0.00015884373369692492,-0.9076784782681424,True,
AC57,segmean,-1,north,6403,17.5714,54,0.003114660485568767,0.0002057907049835469,0.0017776650852826868,0.0006899664448248342,0.38656381312612553,0.008677764940437179,,,,,,,,,True,0.009076,0.000195,20.1643,11,-0.00039823505956282194,-2.0422310746811383,False,
AC57,segmean,-1,up,6403,17.5714,54,-0.0054499571641412415,-0.0010541599974738462,0.010879948050771611,0.0010407389133447844,0.35168160604623505,0.009376475022051729,,,,,,,,,True,0.010133,0.000832,20.1643,11,-0.0007565249779482707,-0.9092848292647485,True,
AC58,whole,0,east,5999,18.1082,161,-0.0022132215052024615,-0.00030677264770025223,0.0022006521172790268,-4.789567476160939e-05,-0.42466581033672945,-0.0030632512109679496,7.782612179552947e-05,7.805996434455517e-05,7.895169465141415e-05,7.822242386544381e-05,0.00011220404070129577,1.094266838404331e-05,0.10963036042841824,-65396.82791823665,True,-0.003828,0.000189,18.1082,12,0.0007647487890320502,4.046289889058467,False,
AC58,whole,0,north,5999,18.1082,161,0.002111241855188542,0.0005491190988770849,0.0005397731860485509,0.0003795208309146282,0.10208738309091896,-0.023626912113678695,3.3928777427660826e-05,3.403072252804568e-05,3.44194778509231e-05,3.410154775739113e-05,4.8916043040668906e-05,4.7705237200735495e-06,0.020836102477316404,-75357.73050632198,True,-0.023859,0.000179,18.1082,12,0.0002320878863213069,1.2965803705100944,False,
AC58,whole,0,up,5999,18.1082,161,0.0009650294287848149,0.0004365791737892184,0.0012820298375219189,-0.00028656509174458715,0.3836344698160801,-0.00023677705914872376,7.353409368096096e-05,7.375504006130131e-05,7.459759238704867e-05,7.390854011183416e-05,0.00010601610680265692,1.0339191822843112e-05,0.0978717944978249,-66077.45012969423,True,-3e-05,0.000477,18.1082,12,-0.00020677705914872376,-0.43349488291137056,True,
AC58,seg,0,east,785,2.6558,38,-0.0027621039860791408,-0.00031992716613453117,0.0020900539438143185,-0.00025317886644568555,-0.4160548665381076,-0.005791508654302744,7.502699660959504e-05,7.660363150090666e-05,8.18068441986791e-05,7.492843026529382e-05,0.00012843326404583905,7.543942380771655e-05,0.0016634692620966342,-10215.664819465715,True,,,,,,,,
