station,year,field,days,n,dropped_quality,dropped_missing,dropped_repeat,n_days,dropped_days,coef_bytes,gram_bytes,grid_bytes,raw_bytes,npz_bytes,seconds,error
72703314609,2024,TMP,366,13138,2,411,4,366,0,49976,851192,192160,7545184,901276,0.238,
72712014607,2024,TMP,366,15400,0,391,11,366,0,49976,851192,246016,8943974,937148,0.255,
72734014847,2024,TMP,366,14657,3,498,3,365,1,49840,848880,234200,8747375,936490,0.237,
72734714841,2024,TMP,366,12737,17,374,1,366,0,49976,851192,186712,7347279,899237,0.242,
72744014858,2024,TMP,366,13809,2,371,6,365,1,49840,848880,201256,8143562,902374,0.245,
72745014913,2024,TMP,366,14587,9,366,6,365,1,49840,848880,232496,8599186,928715,0.253,
72745394967,2024,TMP,366,11926,13,371,1,363,2,49568,844256,168184,6820756,877892,0.232,
72745594931,2024,TMP,366,13513,26,375,7,364,2,49704,846568,202072,7861000,906901,0.237,
72747014918,2024,TMP,366,14997,6,446,6,363,3,49568,844256,239520,8809148,927907,0.249,
72747694961,2024,TMP,366,12415,1,404,5,364,2,49704,846568,175656,7217034,883316,0.254,
72753014914,2024,TMP,366,13897,4,401,24,364,2,49704,846568,221536,8056107,919493,0.235,
72753514919,2024,TMP,366,11571,7,370,1,363,3,49568,844256,160248,6686099,868936,0.234,
72757594925,2024,TMP,366,13819,102,251,12,361,5,49296,839632,210088,6926082,905758,0.238,
72764024011,2024,TMP,366,13857,24,359,25,365,1,49840,848880,221040,7837947,920724,0.258,
72767594011,2024,TMP,366,11342,97,210,9,363,3,49568,844256,166632,5582807,882934,0.217,
72767624013,2024,TMP,366,11322,42,349,2,358,7,48888,832696,153552,6515568,852402,0.225,
72768094008,2024,TMP,366,13505,17,362,22,365,1,49840,848880,215424,7517993,917171,0.251,
72772024144,2024,TMP,366,12688,32,416,469,360,6,49160,837320,201672,7127099,896868,0.227,
72773024153,2024,TMP,366,13930,11,366,25,365,1,49840,848880,222224,7975145,921454,0.244,
72775024143,2024,TMP,366,10335,99,833,3,358,6,48888,832696,129568,6152969,830424,0.226,
72777094012,2024,TMP,366,13392,48,365,459,365,1,49840,848880,213432,7463685,915300,0.242,
72781024243,2024,TMP,366,12997,10,344,22,364,2,49704,846568,207008,6838375,907883,0.23,
72782594239,2024,TMP,366,10492,6,490,2,346,12,47256,804952,129424,6016598,799704,0.204,
72783024149,2024,TMP,366,12807,1,389,11,365,1,49840,848880,203488,6962845,907787,0.274,
72784624160,2024,TMP,366,10541,28,384,0,362,4,49432,841944,126856,6122017,831264,0.208,
72785024157,2024,TMP,366,13458,3,471,22,366,0,49976,851192,214752,8372249,919505,0.238,
72785524114,2024,TMP,366,12698,30,258,16,362,2,49432,841944,189600,6236590,895185,0.224,
72785694176,2024,TMP,366,10666,17,375,3,365,1,49840,848880,135224,5952152,849195,0.229,
72791094224,2024,TMP,366,16666,8,839,11,355,1,48480,825760,265952,9794028,926961,0.268,
72792024227,2024,TMP,366,17067,8,398,15,364,2,49704,846568,272832,9427506,949561,0.262,
72793024233,2024,TMP,366,13786,2,367,37,365,1,49840,848880,219896,8118926,921964,0.254,
72793524234,2024,TMP,366,10493,5,399,5,366,0,49976,851192,148112,6073588,872813,0.22,
72797094240,2024,TMP,366,18268,3,428,56,365,1,49840,848880,292040,10228858,962611,0.286,
72797624217,2024,TMP,366,11740,12,382,6,366,0,49976,851192,170560,7001940,889490,0.201,
74206024207,2024,TMP,366,18173,17,263,4,362,2,49432,841944,280808,9232153,936500,0.267,
74230024037,2024,TMP,366,10468,12,517,2,356,9,48616,828072,131176,5992664,826424,0.213,
74370014715,2024,TMP,366,16020,51,455,10,356,6,48616,828072,243504,8724500,907239,0.25,
74394514710,2024,TMP,366,10452,13,365,1,365,1,49840,848880,134664,6228246,852572,0.219,
