station,year,field,n,order,score,coverage,gram_cond,design_cond,day_score,n_days_checked,gate,worst_param,amp_image,amp_raw
72286023119,2024,TMP,10606,24,5.483236906889452e-15,2.2255094485259953e-13,52.902258318439614,905.388978074227,1.8987324259546587e-13,5,ok,b2,8.100285642377811,8.100285642377813
72288023152,2024,TMP,10143,24,9.609204854328712e-14,2.2255094485259953e-13,50.28609274114469,919.7301491474906,1.1095889497367404e-13,7,ok,a2,5.868477699905932,5.8684776999059896
72290023188,2024,TMP,13943,24,7.315800569427229e-14,2.2255094485259953e-13,49.64069377887767,925.7101186962811,6.026783127415099e-13,8,ok,b2,4.045374462333622,4.045374462333652
72290693112,2024,TMP,9941,24,6.974489109530524e-14,2.2255094485259953e-13,52.11798269802306,940.2284997637104,3.456734695949904e-13,6,ok,b2,4.115879756678911,4.115879756678935
72292603154,2024,TMP,9045,24,3.4516121733874234e-13,2.2255094485259953e-13,69.6473475269824,846.5514757274518,1.1591372055158106e-13,1,ok,a2,5.833083349255933,5.833083349255994
72295023174,2024,TMP,13663,24,1.0707421062330705e-13,2.2255094485259953e-13,50.8517117908106,939.0460388646512,5.284200999635927e-13,8,ok,b2,3.6856356549844533,3.6856356549844977
72303013714,2024,TMP,17062,24,9.70102532247441e-13,2.2255094485259953e-13,54.55735582629835,887.206176766081,8.321011598651044e-13,6,ok,b2,8.937178621962303,8.937178621962335
72303593740,2024,TMP,11292,24,1.1307924641750958e-12,2.2255094485259953e-13,53.54320452601886,957.6346599275896,1.266212637956181e-13,8,ok,b2,8.761834777343537,8.76183477734359
72306013722,2024,TMP,12843,24,5.095770430462838e-13,2.2255094485259953e-13,49.75934510466424,940.3048525278366,7.86943405637299e-14,8,ok,b2,9.539393916236444,9.53939391623648
72306613713,2024,TMP,9509,24,3.881806982113601e-13,2.2255094485259953e-13,75.47665620817071,877.991243024114,1.1397623816185484e-13,4,ok,b2,9.033958029873984,9.033958029874013
72307513769,2024,TMP,10742,24,2.0406217287668766e-13,2.2255094485259953e-13,51.6162706661696,939.5428504301027,4.27810624039749e-13,7,ok,a2,9.01878445182934,9.018784451829383
72308013737,2024,TMP,13918,24,3.9355295722811216e-13,2.2255094485259953e-13,51.67880142967804,941.5358438066337,2.0772964773683653e-13,8,ok,b2,9.324307976932673,9.324307976932701
72308513750,2024,TMP,10343,24,5.73790976206005e-13,2.2255094485259953e-13,51.7259649543476,945.4357777638158,6.57171642609578e-13,8,ok,b2,9.195724946061675,9.19572494606171
72308693741,2024,TMP,11503,24,2.1310227431760919e-13,2.2255094485259953e-13,54.76807148971282,961.7200758058598,2.1905989667081661e-13,8,ok,b2,9.369753259805119,9.369753259805128
72309013754,2024,TMP,11155,24,2.5170929225695055e-13,2.2255094485259953e-13,54.15725213125667,945.9491860774914,2.2479343772327804e-13,7,ok,b2,8.502166460559796,8.50216646055982
72309593719,2024,TMP,12081,24,1.5968795485211087e-13,2.2255094485259953e-13,57.783936481844584,968.9777290636628,2.2208878417656412e-13,8,ok,b2,8.411612426063833,8.411612426063861
72309693727,2024,TMP,10394,24,1.0450848728602423e-13,2.2255094485259953e-13,111.30487777968634,939.6683514283532,1.115991489787011e-13,7,ok,a2,7.900504937532933,7.900504937532928
72310013883,2024,TMP,13173,24,3.3407011559814957e-13,2.2255094485259953e-13,50.09346118020567,932.8051387823347,4.547551095982158e-13,8,ok,b2,9.220920201457357,9.220920201457362
72310613744,2024,TMP,11724,24,3.6826515247328203e-13,2.2255094485259953e-13,55.10702178075439,945.67991364034,5.315301536997278e-13,8,ok,b2,8.587863089629044,8.587863089629076
72311013873,2024,TMP,14064,24,3.5940921342871146e-13,2.2255094485259953e-13,50.5669254480492,925.3228230818473,1.3909099770971398e-13,6,ok,b2,9.20144726277382,9.201447262773854
72312003870,2024,TMP,13758,24,1.4212514320897308e-13,2.2255094485259953e-13,50.39260126440673,926.8029769214331,2.1768984992616377e-13,8,ok,b2,9.419027675061239,9.419027675061251
72313993729,2024,TMP,11488,24,1.7531871613547317e-13,2.2255094485259953e-13,53.10736713644772,909.1898265595667,8.741449349460754e-13,8,ok,b2,8.278312173097692,8.278312173097728
72314013881,2024,TMP,13416,24,2.9079523201743414e-13,2.2255094485259953e-13,49.786609417617576,931.066037193216,4.138353485329248e-13,8,ok,b2,9.446296586663411,9.446296586663431
72315003812,2024,TMP,15094,24,2.0375379412915196e-13,2.2255094485259953e-13,52.5115503484804,931.902071590034,7.748200995417264e-12,7,ok,b2,8.988216622220133,8.988216622220145
