sta,component,n,span,order,score,coverage,gram_cond,design_cond,gram_rebuild_err,gate,worst_param,v_image,v_raw
0BLG,north,641,1.9083,32,6.870161351091736e-14,2.745651544424577e-12,113.51574896437315,4.219505051457682,0.0,ok,b1,0.013175957114759367,0.013175957114759395
0BLG,up,641,1.9083,32,3.2116138279190173e-13,2.745651544424577e-12,113.51574896437315,4.219505051457682,0.0,ok,b2,0.00770146792480089,0.007701467924800188
0BLI,east,4872,13.4757,124,3.6067539845532924e-14,1.0355058941310147e-11,255.88146955304177,15.706594460146837,0.0,ok,a2,0.018752703823236818,0.01875270382323688
0BLI,north,4872,13.4757,124,3.5430199200457415e-14,1.0355058941310147e-11,255.88146955304177,15.706594460146837,0.0,ok,a1,0.013740914528321985,0.013740914528322073
0BLI,up,4872,13.4757,124,4.3917384812237645e-14,1.0355058941310147e-11,255.88146955304177,15.706594460146837,0.0,ok,a2,0.006275670109422106,0.006275670109422122
0BMO,east,1842,5.1225,57,5.082961773153427e-13,5.92090754723036e-11,123.33554573293254,6.582629037269746,0.0,ok,a2,0.01588569562719737,0.015885695627197324
0BMO,north,1842,5.1225,57,8.788993748818699e-13,5.92090754723036e-11,123.33554573293254,6.582629037269746,0.0,ok,a2,0.01506980561118106,0.015069805611181373
0BMO,up,1842,5.1225,57,2.8561117956882793e-12,5.92090754723036e-11,123.33554573293254,6.582629037269746,0.0,ok,a2,0.008378650429230066,0.008378650429229308
0BOD,east,5906,16.3696,147,9.458366929813943e-14,1.3567357244745824e-11,321.22010931570753,19.04844354039158,0.0,ok,a2,0.01847901605663408,0.018479016056634216
0BOD,north,5906,16.3696,147,3.5313492038555084e-13,1.3567357244745824e-11,321.22010931570753,19.04844354039158,0.0,ok,v,0.014481617398806195,0.014481617398801081
0BOD,up,5906,16.3696,147,5.718520311784821e-13,1.3567357244745824e-11,321.22010931570753,19.04844354039158,0.0,ok,v,0.0019984245340966323,0.001998424534093817
0BOS,east,2059,5.6482,62,1.6860626526556707e-12,2.2781308387894406e-11,124.01666251616257,7.034220442601777,0.0,ok,a2,0.01819283711827065,0.018192837118270626
0BOS,north,2059,5.6482,62,3.0242022316993496e-13,2.2781308387894406e-11,124.01666251616257,7.034220442601777,0.0,ok,b2,0.014258624552764871,0.014258624552764814
0BOS,up,2059,5.6482,62,3.0282977473699133e-12,2.2781308387894406e-11,124.01666251616257,7.034220442601777,0.0,ok,a2,0.010439518378372755,0.010439518378372474
